,period1,period2,entryfilter1,entryfilter2,closefilter1,closefilter2,mutation,profit,probability
28,1.0,8.0,0.03842496004859794,-0.00994184141096073,0.08682966692327171,-0.029696938045680618,0.4758001777238319,-2.2957929893517663,
29,1.0,8.0,0.023524876204868803,0.06880365077690703,-0.0869719424459178,0.022027986719067888,0.3126409754244389,-2.281415926220757,
30,1.0,8.0,0.014127574790968045,0.05764763686235683,0.07147862350744769,0.0466676613623595,0.09761912161981001,-2.278484497308667,
31,1.0,8.0,0.06320302847287798,0.03250973278489028,-0.0832155421700926,0.015711274115734697,0.10078486708296952,-2.272216137995465,
32,1.0,8.0,0.030929892878631404,0.07425250673577433,0.09887822930536869,0.014119586846703516,0.4353976173796541,-2.255534666729472,
33,1.0,8.0,0.018515901609675783,0.06316468515503823,-0.08456820510668875,0.014475732408732872,0.7836961412272383,-2.252887305743849,
34,1.0,8.0,0.09831920352825949,0.025040343630561346,-0.0708726337605135,0.014475732408732872,0.43977028449410227,-2.2525519060785304,
35,1.0,8.0,0.052712940257247015,0.033730997460308304,-0.07730424299542554,0.014475732408732872,0.9921124817870739,-2.251309271299132,
36,1.0,8.0,0.058319976333301576,0.06158676718336742,-0.08305365872427267,0.019552350903942653,0.17441591972030002,-2.225264689732531,
37,1.0,8.0,0.021083503927730257,0.08281834892925849,-0.0749383814437826,0.021962925556814533,0.12385899187486737,-2.2174489975445715,
38,1.0,8.0,0.003941976477634987,0.05869244488039799,-0.09015273740264758,0.02044301326367723,0.4650615748061735,-2.1920961617424326,
39,1.0,8.0,0.014987159424350832,0.0404368281573973,-0.0708726337605135,0.02044301326367723,0.44084797951621113,-2.1706498746106235,
40,1.0,8.0,0.04100975179769609,-0.018731148071859494,0.0840415735904457,0.022149481185533795,0.025345902371640583,-2.168172817342173,
41,1.0,8.0,0.06375001567389166,0.07256865573963711,-0.09168334701693191,0.02044301326367723,0.8541808509926662,-2.164435347492763,
42,1.0,8.0,0.024542970927155044,0.04716932256939174,-0.09238559274683583,0.019871662194838186,0.396644146061516,-2.162919065392473,
43,1.0,8.0,0.04138149489721635,0.025268576886331495,-0.08857065515270571,0.020737809118452716,0.2963346467256507,-2.1620226325364063,
44,1.0,8.0,0.07901050969082687,0.03482152686082607,-0.0834979865739574,0.020737809118452716,0.04692328442359894,-2.144757450250857,
45,1.0,8.0,0.026725572334279885,0.07083888939619853,-0.09015273740264758,0.02052969940298699,0.4017748615055541,-2.1422365414925832,
46,1.0,8.0,0.0731379717387024,0.0404368281573973,-0.0708726337605135,0.019871662194838186,0.189454458915286,-2.134448312008132,0.056056056056056056
