time,open,high,low,close
1473398400,24185.92,24364,24179.85,24243.77
1473402000,24242.82,24249.03,24120.14,24123.22
1473405600,24128.86,24166.94,24106.07,24112.52
1473643200,23596.03,23625.37,23486.17,23487.91
1473646800,23486.41,23530.45,23419.88,23426.9
1473650400,23424.91,23444.15,23405.61,23419.37
1473654000,23426.03,23482.17,23423.46,23437.99
1473657600,23440.39,23455.66,23412.73,23437.49
1473661200,23433.73,23467.62,23389.08,23392.91
1473664800,23393.23,23406.88,23309.8,23310.33
1473729600,23564.13,23652.41,23457.37,23475.07
1473733200,23474.77,23572.29,23473.21,23510.36
1473736800,23510,23529.04,23475.67,23482.47
1473740400,23490.17,23528.68,23464.59,23473.6
1473744000,23477.56,23516.64,23399.19,23401.51
1473747600,23401.41,23437.52,23278.92,23284.43
1473751200,23281.39,23291.48,23196.49,23229.97
1473816000,23225.58,23371.53,23161.22,23300.67
1473819600,23300.31,23307.64,23194.2,23230.96
1473823200,23230.74,23256.21,23180.4,23234.38
1473826800,23237.18,23281.76,23222.45,23252.9
1473830400,23253.08,23268.82,23193.34,23215.32
1473834000,23214.87,23274.69,23206.43,23212.77
1473837600,23213.01,23237.62,23155.73,23204.5
1473902400,23237.2,23329.08,23194.37,23233.7
1473906000,23225.27,23294.46,23225.14,23270.16
1473909600,23269.87,23337.14,23269.74,23322.84
1473913200,23321.6,23321.6,23261.46,23282.73
1473916800,23283.09,23372.21,23274.01,23326.37
1473920400,23325.82,23443.97,23289.67,23423.81
1473924000,23423.77,23471.48,23404.19,23416.8
1474248000,23486.62,23542.9,23394.95,23423.57
1474251600,23429,23540.06,23429,23532.68
1474255200,23532.39,23558.62,23516.98,23529.37
1474258800,23537.26,23624.65,23532.3,23617.57
1474262400,23618.22,23625.92,23519.64,23553.32
1474266000,23552.71,23559.05,23484.31,23520.84
1474269600,23526.28,23578.41,23524.09,23550.19
1474334400,23494.01,23535.31,23397.13,23444.39
1474338000,23442.84,23525.65,23422.27,23513.63
1474341600,23515.75,23535.08,23500.15,23500.81
1474345200,23500.87,23523.59,23500.87,23517.62
1474348800,23520.59,23533.18,23480.31,23490.48
1474352400,23491.23,23550.71,23491.04,23532.62
1474356000,23534.43,23556.06,23499.88,23541.43
1474420800,23522.86,23536.11,23436.23,23450.94
1474424400,23448.72,23521.1,23446.52,23504.15
1474428000,23502.3,23625.21,23487.13,23603.86
1474431600,23615.79,23684.81,23615.79,23646.37
1474435200,23644.07,23726.15,23639.81,23685.96
1474438800,23682.5,23729.02,23656.21,23720.84
1474442400,23720.63,23721.54,23662.45,23681.9
1474507200,23920.18,24027.88,23885.68,24002.17
1474510800,24002.82,24058.65,23996.39,24037.06
1474514400,24032.91,24049.79,23929.52,23938.05
1474518000,23936.48,23941.12,23858.4,23900.57
1474521600,23899.92,23901.75,23683.58,23737.29
1474525200,23732.5,23810.5,23723.9,23806.5
1474528800,23808.27,23815.24,23718.56,23762.94
1474593600,23836.6,23846.71,23700.32,23815.51
1474597200,23813.26,23816.23,23740.77,23773.74
1474600800,23771.13,23798.23,23745.59,23747.37
1474604400,23746.82,23754.27,23691.9,23708.81
1474608000,23709.75,23782.56,23705.21,23737.54
1474611600,23737.91,23785.66,23728.4,23745.12
1474615200,23742.64,23745.3,23628.64,23667.18
1474852800,23554.83,23563.5,23424.02,23531.34
1474856400,23531.08,23555.87,23447.89,23539.07
1474860000,23537.02,23557.72,23508.62,23526.7
1474863600,23526.15,23542.93,23518.35,23530.21
1474867200,23529.49,23533.3,23466.44,23477.8
1474870800,23480.77,23482.49,23346.83,23346.83
1474874400,23344.59,23349.07,23276.13,23303.62
1474939200,23356.03,23469.34,23295.05,23442
1474942800,23441.79,23526.97,23409.32,23502.37
1474946400,23502.55,23599.9,23474.61,23574.49
1474950000,23566.14,23620.48,23557.54,23597.25
1474953600,23599.21,23600.83,23523.2,23559.11
1474957200,23558.71,23646.03,23555.31,23620.92
1474960800,23618.39,23627.26,23554.54,23564.59
1475025600,23455.73,23556.86,23425.29,23471.67
1475029200,23471.85,23487.74,23370.44,23412.57
1475032800,23413.76,23429.27,23399.12,23421.91
1475036400,23420.02,23430.99,23407.22,23418.07
1475040000,23420.35,23470.12,23410.11,23444.71
1475043600,23444.34,23536.37,23431.48,23514.55
1475047200,23519.11,23581.26,23508.99,23560.61
1475112000,23828.6,23828.6,23690.25,23709.74
1475115600,23716.99,23736.23,23679.67,23694.06
1475119200,23695.21,23735.97,23684.47,23718.14
1475122800,23727.08,23727.08,23702.81,23710.39
1475126400,23713.19,23721.67,23607.99,23637.82
1475130000,23646.33,23671.21,23623.21,23648.31
1475133600,23656.63,23763.74,23646.56,23736.01
1475198400,23435.29,23483.45,23385.95,23443.91
1475202000,23444.03,23484.37,23392.56,23466.92
1475205600,23469.37,23473.25,23409.49,23438.07
1475209200,23441.08,23450.41,23429.59,23441.51
1475212800,23441.63,23451.2,23364.04,23392.04
1475216400,23392.39,23397.3,23303.47,23307.81
1475220000,23303.8,23319.11,23239.36,23284.87
1475457600,23652.83,23698.3,23586.2,23614.36
1475461200,23617.32,23644.86,23588.76,23615.12
1475464800,23615.37,23622.4,23579.31,23586.22
1475468400,23587.54,23604.95,23554.98,23555.19
1475472000,23554.98,23596.19,23547.25,23562.68
1475475600,23560.53,23576.01,23500.71,23537.48
1475479200,23536.31,23586.64,23516.19,23572.38
1475544000,23665.35,23665.35,23527.27,23540.63
1475547600,23540.82,23582.4,23518.56,23578.77
1475551200,23581.02,23605.66,23576.12,23590
1475554800,23591.39,23617.75,23588.52,23599.02
1475558400,23600.88,23625.16,23589.29,23596.44
1475562000,23597,23663.45,23583.62,23658.57
1475565600,23659.56,23675.99,23630.66,23671.92
1475630400,23619.91,23789.48,23566.22,23771.19
1475634000,23770.42,23847.46,23730.15,23810.13
1475637600,23810.76,23810.9,23779.06,23796.21
1475641200,23786.95,23805.88,23781.19,23790.71
1475644800,23787.63,23803.61,23759.47,23782.1
1475648400,23782.22,23784.03,23696.86,23736.3
1475652000,23736.99,23791.57,23729.34,23777.04
1475716800,23859.41,23932.79,23853.72,23883.65
1475720400,23884.3,23890.69,23826.45,23885.9
1475724000,23886.2,23914.06,23881.53,23902.69
1475727600,23906.52,23922.93,23900.12,23910.77
1475731200,23912.47,23950.34,23887.12,23911.61
1475734800,23906.18,24004.09,23900.3,23992.59
1475738400,23995.56,24000.25,23944.22,23951.99
1475803200,23948.95,23948.95,23819.13,23834.58
1475806800,23834.79,23882.56,23822.06,23874.21
1475810400,23871.55,23876.48,23817.3,23836.56
1475814000,23834.71,23837.39,23814.78,23832.33
1475817600,23830.06,23849.79,23793.48,23808.45
1475821200,23808.34,23834,23770.14,23792.94
1475824800,23788.45,23827.09,23771.91,23818.99
1476148800,24013.84,24064.5,23822.26,23859.25
