,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
1367,HK.800000,2019-04-26 12:00:00,29590.24,29583.67,29600.5,29546.72,0.0,0.0,0,3927685447.876,-0.02112205778183922,29589.92
1368,HK.800000,2019-04-26 14:00:00,29583.67,29563.23,29661.2,29557.15,0.0,0.0,0,12189648698.922,-0.06909217145810068,29583.67
1369,HK.800000,2019-04-26 15:00:00,29564.08,29563.29,29602.24,29542.69,0.0,0.0,0,9642882323.176,0.00020295481921735097,29563.23
1370,HK.800000,2019-04-26 16:00:00,29564.03,29605.01,29605.01,29511.47,0.0,0.0,0,18921156500.04,0.1411209645475775,29563.29
1371,HK.800000,2019-04-29 10:30:00,29730.85,29760.75,29823.08,29639.38,0.0,0.0,0,23903409473.777,0.5260596095052885,29605.01
1372,HK.800000,2019-04-29 11:30:00,29760.54,29835.1,29864.26,29724.52,0.0,0.0,0,13484640868.508,0.24982569323689272,29760.75
1373,HK.800000,2019-04-29 12:00:00,29835.57,29819.83,29851.49,29814.21,0.0,0.0,0,3117148520.704,-0.05118132669237509,29835.1
1374,HK.800000,2019-04-29 14:00:00,29819.83,29859.06,29884.06,29800.85,0.0,0.0,0,8610881532.375,0.1315567526709561,29819.83
1375,HK.800000,2019-04-29 15:00:00,29858.48,29841.5,29872.6,29797.79,0.0,0.0,0,7927941938.806,-0.05880962093247848,29859.06
1376,HK.800000,2019-04-29 16:00:00,29841.71,29892.81,29917.11,29839.63,0.0,0.0,0,17678106723.957,0.1719417589598422,29841.5
1377,HK.800000,2019-04-30 10:30:00,29828.15,29670.11,29855.76,29620.45,0.0,0.0,0,23991560044.487,-0.7449952011871775,29892.81
1378,HK.800000,2019-04-30 11:30:00,29670.26,29747.84,29795.51,29664.92,0.0,0.0,0,11117497453.499,0.2619808285173178,29670.11
1379,HK.800000,2019-04-30 12:00:00,29744.59,29748.76,29777.18,29732.59,0.0,0.0,0,3317382073.854,0.0030926615176034757,29747.84
1380,HK.800000,2019-04-30 14:00:00,29748.76,29738.67,29813.88,29710.09,0.0,0.0,0,8175095899.418,-0.03391738008575869,29748.76
1381,HK.800000,2019-04-30 15:00:00,29738.35,29696.74,29742.75,29658.23,0.0,0.0,0,8014609038.933,-0.1409948730054056,29738.67
1382,HK.800000,2019-04-30 16:00:00,29698.89,29699.11,29715.39,29673.79,0.0,0.0,0,19302969346.659,0.007980673972964647,29696.74
1383,HK.800000,2019-05-02 10:30:00,29643.05,29830.17,29837.25,29643.05,0.0,0.0,0,23961804081.26,0.44129268520167,29699.11
1384,HK.800000,2019-05-02 11:30:00,29830.38,29877.2,29891.2,29782.35,0.0,0.0,0,11305086895.164,0.15765917525780937,29830.17
1385,HK.800000,2019-05-02 12:00:00,29875.59,29887.13,29897.61,29865.85,0.0,0.0,0,3343964589.732,0.03323604621584449,29877.2
1386,HK.800000,2019-05-02 14:00:00,29887.13,29878.17,29909.83,29857.43,0.0,0.0,0,7767265131.954,-0.02997945938603929,29887.13
1387,HK.800000,2019-05-02 15:00:00,29878.88,29953.35,29967.74,29871.63,0.0,0.0,0,8693323712.572,0.25162183627712237,29878.17
1388,HK.800000,2019-05-02 16:00:00,29949.22,29944.18,29958.93,29915.06,0.0,0.0,0,16387981856.746,-0.03061427185940222,29953.35
