time,open,high,low,close,Plot,Plot,MACD,Signal
1392013200,21612.4,21632.7,21568.1,21577.5,10.899253936051537,87.69124417615711,10.899253936051537,87.69124417615711
1392016800,21577.2,21611.7,21524.8,21575,10.497661373967276,85.5469779872074,10.497661373967276,85.5469779872074
1392081600,21623.8,21803.9,21623.8,21791.4,0.07872913718529162,83.17285996359567,0.07872913718529162,83.17285996359567
1392085200,21791.1,21849.9,21759.3,21815.9,-9.590805503350566,80.59609147840271,-9.590805503350566,80.59609147840271
1392088800,21820.5,21940.1,21814.2,21925,-22.475165351661417,77.73300101090094,-22.475165351661417,77.73300101090094
1392092400,21934,21991.9,21933.1,21973.2,-35.0705428294641,74.59956923755746,-35.0705428294641,74.59956923755746
1392096000,21975.4,22007.1,21954.7,21979.2,-45.37288536103006,71.26700105426336,-45.37288536103006,71.26700105426336
1392099600,21981.3,22025.6,21956.5,22004.1,-54.58343587755735,67.77115558393501,-54.58343587755735,67.77115558393501
1392103200,22003.3,22003.5,21938.9,21963.2,-59.780874864816724,64.22804362702524,-59.780874864816724,64.22804362702524
1392168000,22057.7,22139.7,22010.6,22071.4,-68.53776080088937,60.54010461513873,-68.53776080088937,60.54010461513873
1392171600,22070.3,22177,22070,22158,-79.13909372497437,56.66012688346892,-79.13909372497437,56.66012688346892
1392175200,22155.3,22205.2,22143,22202,-89.19363882054677,52.6086333916907,-89.19363882054677,52.6086333916907
1392178800,22203.4,22228.4,22182.2,22193.8,-96.30308846758999,48.47219667337735,-96.30308846758999,48.47219667337735
1392182400,22191.6,22202.7,22161.4,22198.6,-101.54063680472609,44.305173521207806,-101.54063680472609,44.305173521207806
1392186000,22196,22232.8,22167.4,22231.2,-106.48534542712878,40.11654799486512,-106.48534542712878,40.11654799486512
1392189600,22228.2,22308.2,22225.8,22289.2,-112.32251975702093,35.882129446201624,-112.32251975702093,35.882129446201624
1392254400,22297.7,22297.7,22129.9,22203.3,-112.19102376884985,31.768986301339083,-112.19102376884985,31.768986301339083
1392258000,22204.4,22271.5,22191.4,22264.9,-113.98756257040077,27.72019327712409,-113.98756257040077,27.72019327712409
1392261600,22267.4,22291.4,22218,22228.4,-112.81466316351361,23.816447264884154,-112.81466316351361,23.816447264884154
1392265200,22220.4,22220.7,22165.3,22187.1,-108.99682824473348,20.12718961183922,-108.99682824473348,20.12718961183922
1392268800,22187.3,22235.1,22150.1,22205.3,-105.7940069604847,16.629378595941333,-105.7940069604847,16.629378595941333
1392272400,22202.5,22210.6,22116.8,22116.8,-98.1904852615371,13.439937933233598,-98.1904852615371,13.439937933233598
1392276000,22113.1,22183.7,22098.2,22169.3,-93.5620495396106,10.46766050343237,-93.5620495396106,10.46766050343237
1392340800,22382.7,22412.7,22257.8,22285.7,-94.36344002341502,7.555685488797721,-94.36344002341502,7.555685488797721
1392344400,22287.1,22308.7,22245.4,22252,-92.66950836079195,4.77165232630912,-92.66950836079195,4.77165232630912
1392348000,22253.4,22283.1,22245.6,22253.8,-90.58608108796034,2.122826398134968,-90.58608108796034,2.122826398134968
1392351600,22254.7,22295,22250.9,22275.7,-89.13002864939699,-0.41197513096314164,-89.13002864939699,-0.41197513096314164
1392355200,22275.3,22289.6,22243.8,22246.2,-85.82460729301965,-2.7845482465758224,-85.82460729301965,-2.7845482465758224
1392358800,22247.4,22323.3,22244.1,22311.2,-85.39937040612858,-5.07940441767451,-85.39937040612858,-5.07940441767451
1392362400,22306.4,22361.1,22286.1,22301.3,-83.87575723908594,-7.26819199604705,-83.87575723908594,-7.26819199604705
1392600000,22463.4,22585.7,22463.4,22536,-92.77005941534298,-9.643243868805271,-92.77005941534298,-9.643243868805271
1392603600,22535.7,22542.3,22465.2,22476.3,-96.51858380836347,-12.05644775601522,-96.51858380836347,-12.05644775601522
1392607200,22473.6,22504.5,22473.4,22497.8,-99.77247073702893,-14.493003949932268,-99.77247073702893,-14.493003949932268
1392610800,22501.4,22519.9,22479.7,22519.4,-102.59836573541543,-16.940375110640133,-102.59836573541543,-16.940375110640133
1392614400,22518.8,22546.6,22493.5,22546.6,-105.30867158925685,-19.39505001282393,-105.30867158925685,-19.39505001282393
1392618000,22541.2,22545.5,22504.4,22521.3,-105.4750257838823,-21.786160450908884,-105.4750257838823,-21.786160450908884
1392621600,22519.9,22542.1,22500.5,22516.9,-104.52161828969474,-24.08436761309738,-104.52161828969474,-24.08436761309738
1392686400,22535.2,22536.1,22439.3,22461.5,-100.30162796219156,-26.201513733905553,-100.30162796219156,-26.201513733905553
1392690000,22460.8,22489.9,22437.4,22485.7,-97.11968943367538,-28.17146305889916,-97.11968943367538,-28.17146305889916
