time,Open,High,Low,Close
2015-05-27 02:20:00,28088.11,28120.81,28046.57,28096.45
2015-05-27 03:20:00,28092.24,28100.19,28065.46,28087.68
2015-05-27 04:20:00,28076.17,28084.78,28009.39,28035.82
2015-05-27 05:20:00,28034.06,28068.51,27996.14,28004.95
2015-05-27 06:20:00,28007.8,28061.62,27982.14,28045.18
2015-05-27 07:20:00,28045.48,28117.21,28029.61,28081.21
2015-05-28 01:20:00,28162.25,28162.25,27762.55,27804.45
2015-05-28 02:20:00,27801.73,27858.55,27659.05,27697.5
2015-05-28 03:20:00,27690.13,27702.64,27634.33,27656.68
2015-05-28 04:20:00,27681.83,27698.24,27597.93,27608.53
2015-05-28 05:20:00,27593.22,27652.97,27494.56,27495.34
2015-05-28 06:20:00,27480.33,27529.16,27242.11,27247.6
2015-05-28 07:20:00,27243.58,27495.65,27243.58,27454.31
2015-05-29 01:20:00,27398.28,27506.84,27255.89,27466.03
2015-05-29 02:20:00,27466.14,27530.2,27445.86,27497.95
2015-05-29 03:20:00,27501.35,27559.42,27489.17,27537.7
2015-05-29 04:20:00,27536.48,27554.46,27504.24,27512.34
2015-05-29 05:20:00,27511.27,27604.27,27462.74,27466.51
2015-05-29 06:20:00,27466.91,27484.93,27382.16,27482.01
2015-05-29 07:20:00,27478.28,27499.57,27407.59,27424.19
2015-06-01 01:20:00,27373.06,27669.06,27241.95,27491.0
2015-06-01 02:20:00,27489.02,27666.23,27481.84,27599.2
2015-06-01 03:20:00,27600.74,27622.39,27580.22,27605.61
2015-06-01 04:20:00,27604.46,27619.94,27591.31,27607.75
2015-06-01 05:20:00,27608.15,27724.16,27591.96,27682.97
2015-06-01 06:20:00,27683.75,27766.32,27642.13,27684.73
2015-06-01 07:20:00,27683.56,27722.75,27591.16,27597.16
2015-06-02 01:20:00,27473.45,27602.88,27411.43,27564.98
2015-06-02 02:20:00,27564.39,27568.84,27451.5,27466.02
2015-06-02 03:20:00,27463.49,27465.88,27355.26,27392.64
2015-06-02 04:20:00,27401.03,27414.45,27382.63,27405.67
2015-06-02 05:20:00,27404.27,27452.7,27348.13,27426.19
2015-06-02 06:20:00,27428.27,27509.62,27427.48,27463.58
2015-06-02 07:20:00,27462.13,27513.06,27444.71,27466.72
2015-06-03 01:20:00,27716.34,27767.23,27508.84,27742.24
2015-06-03 02:20:00,27739.7,27759.14,27594.72,27615.72
2015-06-03 03:20:00,27618.63,27672.79,27610.54,27670.71
2015-06-03 04:20:00,27673.77,27674.34,27630.89,27650.65
2015-06-03 05:20:00,27649.12,27750.87,27624.61,27728.19
2015-06-03 06:20:00,27726.03,27735.18,27620.0,27623.57
2015-06-03 07:20:00,27624.29,27671.51,27617.34,27657.47
2015-06-04 01:20:00,27645.36,27854.74,27586.91,27787.59
2015-06-04 02:20:00,27784.38,27805.75,27711.89,27722.82
2015-06-04 03:20:00,27723.82,27733.25,27094.5,27274.32
2015-06-04 04:20:00,27288.3,27309.63,27134.94,27293.63
2015-06-04 05:20:00,27296.25,27406.2,27266.39,27385.43
2015-06-04 06:20:00,27383.97,27702.31,27269.01,27629.61
2015-06-04 07:20:00,27629.86,27664.55,27507.23,27551.89
2015-06-05 01:20:00,27538.06,27646.72,27401.66,27427.22
2015-06-05 02:20:00,27426.82,27515.59,27357.38,27432.88
2015-06-05 03:20:00,27433.29,27433.96,27304.26,27309.68
2015-06-05 04:20:00,27309.09,27392.46,27282.96,27376.08
2015-06-05 05:20:00,27378.18,27378.41,27245.17,27284.19
2015-06-05 06:20:00,27283.69,27370.32,27279.88,27294.92
2015-06-05 07:20:00,27297.0,27333.61,27211.36,27260.16
2015-06-08 01:20:00,27147.24,27263.36,27060.24,27086.19
2015-06-08 02:20:00,27087.17,27314.34,27085.44,27269.87
2015-06-08 03:20:00,27272.67,27409.45,27263.84,27350.09
2015-06-08 04:20:00,27350.01,27420.64,27349.77,27379.38
2015-06-08 05:20:00,27377.31,27407.94,27329.17,27407.58
2015-06-08 06:20:00,27406.58,27428.59,27371.04,27381.17
2015-06-08 07:20:00,27379.72,27389.92,27289.17,27316.28
2015-06-09 01:20:00,27295.88,27322.14,27174.5,27179.48
2015-06-09 02:20:00,27181.37,27192.6,26986.15,27004.0
2015-06-09 03:20:00,27002.61,27067.1,27000.66,27038.27
2015-06-09 04:20:00,27044.89,27142.39,27017.27,27112.03
2015-06-09 05:20:00,27111.2,27119.5,26971.57,27098.28
2015-06-09 06:20:00,27098.53,27108.08,26972.29,27006.1
2015-06-09 07:20:00,27009.55,27067.57,26975.92,26989.52
2015-06-10 01:20:00,27052.79,27116.92,26954.25,27047.74
2015-06-10 02:20:00,27048.44,27094.68,27011.28,27042.51
2015-06-10 03:20:00,27045.11,27064.0,27032.93,27045.5
2015-06-10 04:20:00,27048.01,27073.92,27026.32,27062.03
2015-06-10 05:20:00,27061.93,27108.97,27036.1,27083.62
2015-06-10 06:20:00,27083.68,27089.09,26575.27,26581.75
2015-06-10 07:20:00,26587.73,26804.78,26573.96,26687.64
2015-06-11 01:20:00,26938.15,26991.51,26839.43,26908.96
2015-06-11 02:20:00,26911.7,26965.17,26894.01,26906.13
2015-06-11 03:20:00,26905.48,26930.91,26885.72,26923.87
